epoch,train_loss,val_loss,dice,iou,precision,recall,bs,lr,weightdecay,accusteps
1,0.6874,0.6651,0.0792,0.0,0.0,0.0,2,0.00010401663679887307,3.776663327107337e-06,4
2,0.6793,0.6667,0.0724,0.0,0.0045,0.0,2,0.00010401663679887307,3.776663327107337e-06,4
3,0.6763,0.6653,0.0718,0.0,0.0,0.0,2,0.00010401663679887307,3.776663327107337e-06,4
4,0.658,0.6425,0.1202,0.0309,0.3098,0.0338,2,0.00010401663679887307,3.776663327107337e-06,4
5,0.6372,0.623,0.124,0.0284,0.6413,0.0294,2,0.00010401663679887307,3.776663327107337e-06,4
6,0.6131,0.6043,0.1588,0.1785,0.5097,0.2187,2,0.00010401663679887307,3.776663327107337e-06,4
7,0.6035,0.5911,0.1766,0.2399,0.5416,0.3018,2,0.00010401663679887307,3.776663327107337e-06,4
8,0.5914,0.581,0.193,0.2809,0.5537,0.3638,2,0.00010401663679887307,3.776663327107337e-06,4
9,0.5793,0.5691,0.2084,0.315,0.5739,0.4116,2,0.00010401663679887307,3.776663327107337e-06,4
10,0.566,0.5562,0.2173,0.3368,0.6426,0.4147,2,0.00010401663679887307,3.776663327107337e-06,4
11,0.5558,0.5456,0.2376,0.4105,0.6441,0.532,2,0.00010401663679887307,3.776663327107337e-06,4
12,0.5384,0.5372,0.2417,0.4315,0.6969,0.5327,2,0.00010401663679887307,3.776663327107337e-06,4
13,0.5402,0.5288,0.2628,0.4718,0.6485,0.6367,2,0.00010401663679887307,3.776663327107337e-06,4
14,0.5302,0.5158,0.2785,0.4835,0.6661,0.6416,2,0.00010401663679887307,3.776663327107337e-06,4
15,0.5158,0.5078,0.3004,0.4948,0.627,0.7045,2,0.00010401663679887307,3.776663327107337e-06,4
16,0.5163,0.5012,0.3076,0.5062,0.6424,0.7077,2,0.00010401663679887307,3.776663327107337e-06,4
17,0.5019,0.4973,0.3009,0.5175,0.7024,0.6651,2,0.00010401663679887307,3.776663327107337e-06,4
18,0.4988,0.4929,0.3109,0.5274,0.6879,0.6958,2,0.00010401663679887307,3.776663327107337e-06,4
19,0.4985,0.4896,0.3132,0.5317,0.7056,0.6858,2,0.00010401663679887307,3.776663327107337e-06,4
20,0.4969,0.4843,0.3266,0.5391,0.687,0.7174,2,0.00010401663679887307,3.776663327107337e-06,4
21,0.4974,0.4822,0.3384,0.5371,0.6562,0.7504,2,0.00010401663679887307,3.776663327107337e-06,4
22,0.4855,0.4797,0.328,0.5441,0.7182,0.6947,2,0.00010401663679887307,3.776663327107337e-06,4
23,0.4812,0.4796,0.3238,0.5403,0.7486,0.6628,2,0.00010401663679887307,3.776663327107337e-06,4
24,0.4905,0.4757,0.3385,0.5531,0.7002,0.7279,2,0.00010401663679887307,3.776663327107337e-06,4
25,0.476,0.4744,0.339,0.5558,0.7081,0.7249,2,0.00010401663679887307,3.776663327107337e-06,4
1,0.6669,0.6453,0.0932,0.0,0.0,0.0,2,0.00044447541666908124,0.0011999975480350797,1
2,0.6399,0.6238,0.1286,0.0509,0.6263,0.0528,2,0.00044447541666908124,0.0011999975480350797,1
3,0.6281,0.6141,0.1387,0.0941,0.6512,0.1,2,0.00044447541666908124,0.0011999975480350797,1
4,0.6046,0.5809,0.1785,0.2307,0.8388,0.2452,2,0.00044447541666908124,0.0011999975480350797,1
5,0.543,0.5127,0.2948,0.5156,0.6382,0.7337,2,0.00044447541666908124,0.0011999975480350797,1
6,0.496,0.4947,0.3294,0.5232,0.6184,0.7761,2,0.00044447541666908124,0.0011999975480350797,1
7,0.4937,0.477,0.3282,0.5476,0.749,0.6739,2,0.00044447541666908124,0.0011999975480350797,1
8,0.4867,0.4952,0.3493,0.516,0.5758,0.8355,2,0.00044447541666908124,0.0011999975480350797,1
9,0.4812,0.47,0.3401,0.5648,0.7377,0.7094,2,0.00044447541666908124,0.0011999975480350797,1
10,0.4755,0.4671,0.3574,0.5646,0.6817,0.7703,2,0.00044447541666908124,0.0011999975480350797,1
11,0.4864,0.4674,0.3595,0.5693,0.6704,0.7941,2,0.00044447541666908124,0.0011999975480350797,1
12,0.4741,0.4636,0.3527,0.5759,0.7262,0.738,2,0.00044447541666908124,0.0011999975480350797,1
13,0.4769,0.4655,0.3536,0.5766,0.6989,0.77,2,0.00044447541666908124,0.0011999975480350797,1
14,0.4685,0.4639,0.347,0.584,0.7406,0.7376,2,0.00044447541666908124,0.0011999975480350797,1
15,0.4815,0.4752,0.3596,0.5528,0.6252,0.8291,2,0.00044447541666908124,0.0011999975480350797,1
16,0.467,0.4617,0.3559,0.5902,0.7177,0.771,2,0.00044447541666908124,0.0011999975480350797,1
17,0.475,0.4666,0.3532,0.5725,0.6881,0.7756,2,0.00044447541666908124,0.0011999975480350797,1
18,0.4792,0.4693,0.3369,0.5766,0.7472,0.7193,2,0.00044447541666908124,0.0011999975480350797,1
19,0.4667,0.4623,0.3686,0.5686,0.6769,0.784,2,0.00044447541666908124,0.0011999975480350797,1
20,0.4778,0.4664,0.3625,0.5725,0.6722,0.7982,2,0.00044447541666908124,0.0011999975480350797,1
21,0.4666,0.4581,0.3656,0.5825,0.7133,0.763,2,0.00044447541666908124,0.0011999975480350797,1
22,0.462,0.4561,0.3676,0.5911,0.7099,0.7819,2,0.00044447541666908124,0.0011999975480350797,1
23,0.474,0.4681,0.3607,0.5764,0.6595,0.8228,2,0.00044447541666908124,0.0011999975480350797,1
24,0.476,0.4814,0.3407,0.5686,0.6629,0.8021,2,0.00044447541666908124,0.0011999975480350797,1
25,0.4708,0.4626,0.3535,0.5754,0.7641,0.7029,2,0.00044447541666908124,0.0011999975480350797,1
1,0.692,0.6666,0.0789,0.0,0.0,0.0,2,3.1245650712608725e-05,0.0001833266087018813,4
2,0.6841,0.6674,0.0835,0.0022,0.0329,0.0024,2,3.1245650712608725e-05,0.0001833266087018813,4
3,0.6842,0.6689,0.0771,0.0005,0.0317,0.0005,2,3.1245650712608725e-05,0.0001833266087018813,4
4,0.672,0.6537,0.0913,0.0,0.0,0.0,2,3.1245650712608725e-05,0.0001833266087018813,4
