epoch,train_loss,val_loss,dice,iou,precision,recall,bs,lr,weightdecay,accusteps
1,0.7302,0.6946,0.1398,0.0182,0.2879,0.0189,2,0.00010256691315437255,4.207053950287931e-07,2
2,0.6925,0.6771,0.1445,0.0755,0.5124,0.0812,2,0.00010256691315437255,4.207053950287931e-07,2
3,0.6788,0.6654,0.1542,0.1795,0.5069,0.2187,2,0.00010256691315437255,4.207053950287931e-07,2
4,0.6644,0.6549,0.1692,0.2552,0.4735,0.359,2,0.00010256691315437255,4.207053950287931e-07,2
5,0.657,0.643,0.1832,0.3152,0.5199,0.446,2,0.00010256691315437255,4.207053950287931e-07,2
6,0.6448,0.6329,0.2007,0.352,0.5214,0.5226,2,0.00010256691315437255,4.207053950287931e-07,2
7,0.6363,0.6256,0.2066,0.3754,0.557,0.5371,2,0.00010256691315437255,4.207053950287931e-07,2
8,0.6294,0.62,0.2096,0.3887,0.5758,0.5464,2,0.00010256691315437255,4.207053950287931e-07,2
9,0.6229,0.6116,0.2256,0.4129,0.5449,0.633,2,0.00010256691315437255,4.207053950287931e-07,2
10,0.6175,0.6062,0.2274,0.4285,0.5757,0.6286,2,0.00010256691315437255,4.207053950287931e-07,2
11,0.6155,0.6027,0.2331,0.4335,0.5687,0.6482,2,0.00010256691315437255,4.207053950287931e-07,2
12,0.6095,0.6019,0.2325,0.4291,0.5751,0.6306,2,0.00010256691315437255,4.207053950287931e-07,2
13,0.6058,0.596,0.2394,0.4457,0.5782,0.6624,2,0.00010256691315437255,4.207053950287931e-07,2
14,0.6029,0.5932,0.2426,0.4512,0.584,0.6672,2,0.00010256691315437255,4.207053950287931e-07,2
15,0.5953,0.5892,0.248,0.4591,0.5846,0.6836,2,0.00010256691315437255,4.207053950287931e-07,2
16,0.5974,0.5883,0.2452,0.463,0.5988,0.6731,2,0.00010256691315437255,4.207053950287931e-07,2
17,0.5909,0.589,0.2465,0.4494,0.5825,0.6648,2,0.00010256691315437255,4.207053950287931e-07,2
18,0.5926,0.5823,0.2527,0.4731,0.5983,0.6949,2,0.00010256691315437255,4.207053950287931e-07,2
19,0.5891,0.5831,0.2485,0.464,0.6035,0.6697,2,0.00010256691315437255,4.207053950287931e-07,2
20,0.5909,0.5804,0.2557,0.4684,0.59,0.6962,2,0.00010256691315437255,4.207053950287931e-07,2
21,0.5839,0.5771,0.253,0.4815,0.6272,0.6762,2,0.00010256691315437255,4.207053950287931e-07,2
22,0.581,0.5747,0.2625,0.4773,0.5919,0.7129,2,0.00010256691315437255,4.207053950287931e-07,2
23,0.5829,0.5724,0.2563,0.4927,0.6418,0.6812,2,0.00010256691315437255,4.207053950287931e-07,2
24,0.5812,0.5725,0.2634,0.4795,0.5955,0.7128,2,0.00010256691315437255,4.207053950287931e-07,2
25,0.578,0.5712,0.2563,0.4834,0.6336,0.6728,2,0.00010256691315437255,4.207053950287931e-07,2
1,0.7595,0.72,0.1498,0.0621,0.2528,0.0763,4,0.0001329377199163636,5.337032762603952e-07,4
2,0.7207,0.7019,0.1452,0.0313,0.2241,0.03514,4,0.0001329377199163636,5.337032762603952e-07,4
3,0.7065,0.6913,0.143,0.0288,0.2581,0.0312,4,0.0001329377199163636,5.337032762603952e-07,4
4,0.6945,0.6841,0.1443,0.0534,0.3901,0.0582,4,0.0001329377199163636,5.337032762603952e-07,4
5,0.6893,0.6785,0.1477,0.0753,0.4428,0.0835,4,0.0001329377199163636,5.337032762603952e-07,4
6,0.6816,0.6738,0.1506,0.1028,0.5385,0.113,4,0.0001329377199163636,5.337032762603952e-07,4
7,0.676,0.6691,0.1548,0.1517,0.4995,0.1792,4,0.0001329377199163636,5.337032762603952e-07,4
8,0.6735,0.6649,0.1587,0.1808,0.4792,0.2263,4,0.0001329377199163636,5.337032762603952e-07,4
9,0.6686,0.6607,0.1618,0.2006,0.4975,0.2538,4,0.0001329377199163636,5.337032762603952e-07,4
10,0.6656,0.656,0.1685,0.2363,0.4984,0.3126,4,0.0001329377199163636,5.337032762603952e-07,4
11,0.6607,0.6508,0.1756,0.2657,0.5085,0.3596,4,0.0001329377199163636,5.337032762603952e-07,4
12,0.6576,0.6465,0.1818,0.2906,0.5131,0.4028,4,0.0001329377199163636,5.337032762603952e-07,4
13,0.6519,0.642,0.1874,0.3136,0.5312,0.4351,4,0.0001329377199163636,5.337032762603952e-07,4
14,0.6483,0.6378,0.1938,0.3277,0.5305,0.463,4,0.0001329377199163636,5.337032762603952e-07,4
15,0.6419,0.6343,0.1997,0.3411,0.529,0.4916,4,0.0001329377199163636,5.337032762603952e-07,4
16,0.6394,0.6303,0.2061,0.3551,0.5263,0.5241,4,0.0001329377199163636,5.337032762603952e-07,4
17,0.6346,0.6269,0.2096,0.3681,0.535,0.5435,4,0.0001329377199163636,5.337032762603952e-07,4
18,0.6331,0.6242,0.2115,0.3791,0.5474,0.5541,4,0.0001329377199163636,5.337032762603952e-07,4
19,0.6314,0.6211,0.2154,0.3898,0.5527,0.5716,4,0.0001329377199163636,5.337032762603952e-07,4
20,0.6298,0.6179,0.22,0.4008,0.5547,0.5932,4,0.0001329377199163636,5.337032762603952e-07,4
21,0.6249,0.6158,0.2224,0.4069,0.5594,0.601,4,0.0001329377199163636,5.337032762603952e-07,4
22,0.6235,0.6144,0.222,0.4108,0.5729,0.5938,4,0.0001329377199163636,5.337032762603952e-07,4
23,0.6219,0.6127,0.2255,0.414,0.5658,0.6086,4,0.0001329377199163636,5.337032762603952e-07,4
24,0.6188,0.6114,0.2292,0.4158,0.5553,0.626,4,0.0001329377199163636,5.337032762603952e-07,4
25,0.615,0.6087,0.2328,0.4222,0.5571,0.638,4,0.0001329377199163636,5.337032762603952e-07,4
1,0.7365,0.6977,0.1428,0.0126,0.1542,0.0134,4,0.0001919814649902086,2.9204338471814074e-06,2
2,0.6946,0.679,0.1467,0.0699,0.4606,0.0764,4,0.0001919814649902086,2.9204338471814074e-06,2
